100000,39
200000,79
300000,118
400000,164
500000,207
600000,252
700000,296
800000,345
900000,389
1000000,437
1100000,487
1200000,530
1300000,583
1400000,628
1500000,685
1600000,723
1700000,784
1800000,832
1900000,868
2000000,919
2100000,982
2200000,1038
2300000,1069
2400000,1115
2500000,1169
2600000,1222
2700000,1260
2800000,1344
2900000,1374
3000000,1421
3100000,1468
3200000,1526
3300000,1565
3400000,1631
3500000,1662
3600000,1734
3700000,1776
3800000,1826
3900000,1880
4000000,1933
4100000,1986
4200000,2040
4300000,2095
4400000,2146
4500000,2189
4600000,2249
4700000,2318
4800000,2344
4900000,2399
5000000,2441
5100000,2511
5200000,2597
5300000,2612
5400000,2684
5500000,2747
5600000,2829
5700000,2819
5800000,2883
5900000,2942
6000000,2968
6100000,3030
6200000,3082
6300000,3134
6400000,3170
6500000,3254
6600000,3326
6700000,3364
6800000,3417
6900000,3445
7000000,3538
7100000,3550
7200000,3613
7300000,3687
7400000,3702
7500000,3804
7600000,3820
7700000,3874
7800000,3928
7900000,4172
8000000,4213
8100000,4233
8200000,4182
8300000,4204
8400000,4320
8500000,4348
8600000,4442
8700000,4458
8800000,4472
8900000,4537
9000000,4607
9100000,4626
9200000,4741
9300000,4791
9400000,4971
9500000,4950
9600000,4901
9700000,4996
9800000,5018
9900000,5062
10000000,5104
